gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2606885471	488	40.22	34	477	1	407	3.0e-113	402	COG0593	Chromosomal replication initiation ATPase DnaA	408
2606885472	222	29.49	3	216	7	217	2.0e-26	112	COG4318	Uncharacterized protein	221
2606885473	390	24.64	35	227	5	202	1.0e-14	74.1	COG0625	Glutathione S-transferase	211
2606885474	452	37.91	1	452	1	453	6.0e-112	398	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	454
2606885475	361	39.42	11	321	15	319	1.0e-45	177	COG0530	Ca2+/Na+ antiporter	320
2606885476	523	35.05	1	519	38	551	7.0e-90	324	COG0659	Sulfate permease or related transporter, MFS superfamily	554
2606885477	343	59.01	1	340	1	344	0.0e+00	485	COG0418	Dihydroorotase	344
2606885482	269	47.35	7	269	2	264	1.0e-80	292	COG0159	Tryptophan synthase alpha chain	265
2606885484	89	36.67	4	89	3	92	2.0e-14	71.1	COG2350	Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine	92
2606885487	170	24.26	14	149	2	137	2.0e-12	65.6	COG3431	Uncharacterized membrane protein, DUF373 family	142
2606885490	131	31.78	21	124	2	108	2.0e-09	55	COG3339	Uncharacterized membrane protein YkvA, DUF1232 family	116
2606885491	308	36.5	4	308	10	341	4.0e-59	221	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	342
2606885492	163	37.41	14	160	4	150	4.0e-31	127	COG3556	Uncharacterized membrane protein	150
2606885495	222	57.8	4	112	3	111	1.0e-43	170	COG0139	Phosphoribosyl-AMP cyclohydrolase	111
2606885496	154	21.83	8	149	3	126	2.0e-09	55.3	COG0720	6-pyruvoyl-tetrahydropterin synthase	127
2606885497	862	56.69	7	861	1	781	0.0e+00	973	COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA	786
2606885501	117	26.55	1	112	20	127	4.0e-09	53.4	COG2010	Cytochrome c, mono- and diheme variants	150
2606885502	119	35.25	2	119	6	127	1.0e-22	98.6	COG3794	Plastocyanin	128
2606885503	339	19.56	3	258	2	259	3.0e-13	69.6	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2606885504	352	43.27	1	338	1	342	4.0e-102	364	COG0407	Uroporphyrinogen-III decarboxylase	352
2606885505	764	53.3	106	749	6	627	0.0e+00	741	COG0296	1,4-alpha-glucan branching enzyme	628
2606885507	531	29.3	7	508	16	547	4.0e-55	209	COG2936	Predicted acyl esterase	563
2606885512	297	36.51	5	295	7	309	7.0e-52	197	COG1940	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	314
2606885513	441	47.48	13	425	3	417	0.0e+00	492	COG0014	Gamma-glutamyl phosphate reductase	417
2606885514	124	32.2	1	117	2	119	5.0e-21	93.4	COG1539	Dihydroneopterin aldolase	121
2606885516	700	47.42	4	699	8	683	0.0e+00	734	COG0339	Zn-dependent oligopeptidase	683
2606885517	511	45.75	13	504	1	482	3.0e-130	458	COG1008	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	497
2606885518	315	41.86	7	307	1	294	2.0e-71	262	COG0083	Homoserine kinase	299
2606885519	344	29.79	7	334	9	318	3.0e-50	192	COG0837	Glucokinase	320
2606885521	611	50.96	30	604	22	584	0.0e+00	709	COG0441	Threonyl-tRNA synthetase	589
2606885523	222	35.81	69	211	35	173	2.0e-22	98.9	COG4678	Muramidase (phage lambda lysozyme)	180
2606885524	337	50.78	1	315	3	314	7.0e-109	387	COG0180	Tryptophanyl-tRNA synthetase	314
2606885527	308	35.96	11	298	6	294	2.0e-52	199	COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter	304
2606885535	131	18.42	19	130	20	133	2.0e-09	54.6	COG1765	Uncharacterized OsmC-related protein	137
2606885536	174	36.42	1	162	5	162	9.0e-26	109	COG3803	Uncharacterized conserved protein, DUF924 family	182
2606885543	258	30.59	4	257	2	256	3.0e-13	68.9	COG0730	Uncharacterized membrane protein YfcA	258
2606885548	165	28.57	1	137	1	140	1.0e-11	62.7	COG2259	Uncharacterized membrane protein YphA, DoxX/SURF4 family	142
2606885549	216	44.72	14	210	13	208	1.0e-48	185	COG3571	Predicted hydrolase of the alpha/beta-hydrolase fold	213
2606885553	433	28.28	1	424	2	408	5.0e-44	172	COG2124	Cytochrome P450	411
2606885555	58	43.1	1	58	1	58	4.0e-03	33.3	COG0828	Ribosomal protein S21	67
2606885559	457	23.75	1	450	1	438	3.0e-32	133	COG4487	Uncharacterized protein	438
2606885560	135	38.98	22	128	16	133	5.0e-21	93.5	COG4446	Uncharacterized conserved protein, DUF1499 family	141
2606885571	221	26.18	1	179	6	193	4.0e-22	98	COG0300	Short-chain dehydrogenase	265
2606885579	228	25.93	53	228	30	211	2.0e-21	96.2	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	211
2606885583	157	45.75	9	156	29	178	1.0e-29	122	COG2032	Cu/Zn superoxide dismutase	179
2606885587	287	18.62	9	277	8	295	3.0e-18	86.2	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2606885593	407	18.72	1	401	2	405	3.0e-16	80	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	439
2606885598	491	21.64	158	461	25	364	9.0e-26	111	COG1680	CubicO group peptidase, beta-lactamase class C family	390
2606885603	90	30.11	2	89	9	101	2.0e-12	64.3	COG0633	Ferredoxin	102
2606885616	213	26.63	16	195	10	187	7.0e-23	100	COG0572	Uridine kinase	218
2606885617	94	30.23	5	85	8	93	3.0e-11	60.5	COG0633	Ferredoxin	102
2606885618	217	44.5	2	210	1	208	9.0e-66	243	COG0177	Endonuclease III	211
2606885619	310	36.15	10	303	7	301	5.0e-72	264	COG0803	ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA	303
2606885620	255	45.96	1	235	3	237	1.0e-79	289	COG1121	ABC-type Mn2+/Zn2+ transport system, ATPase component	254
2606885622	291	47.25	1	272	2	274	8.0e-55	207	COG1108	ABC-type Mn2+/Zn2+ transport system, permease component	274
2606885626	265	33.92	10	233	32	256	5.0e-40	158	COG1119	ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA	257
2606885647	158	24.8	4	128	11	132	2.0e-14	72.3	COG2343	Uncharacterized conserved protein, DUF427 family	132
2606885652	824	30.22	15	823	10	801	0.0e+00	513	COG1201	Lhr-like helicase	814
2606885653	554	29.32	160	549	61	444	3.0e-52	200	COG1793	ATP-dependent DNA ligase	444
2606885655	328	22.58	1	321	18	418	1.0e-31	130	COG1236	RNA processing exonuclease, beta-lactamase fold, Cft2 family	427
2606885657	310	48.72	1	310	17	324	6.0e-113	400	COG0379	Quinolinate synthase	324
2606885660	224	28.07	20	186	15	171	1.0e-18	86.6	COG4678	Muramidase (phage lambda lysozyme)	180
2606885662	379	34.6	3	368	11	363	9.0e-59	220	COG1565	SAM-dependent methyltransferase, MidA family	370
2606885663	371	48.34	9	369	3	357	2.0e-115	409	COG0337	3-dehydroquinate synthetase	360
2606885664	290	39.43	2	279	7	282	3.0e-52	198	COG1175	ABC-type sugar transport system, permease component	295
2606885665	386	36.22	1	378	3	374	3.0e-91	329	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	375
2606885669	98	30.61	1	95	5	101	5.0e-13	66.1	COG2127	ATP-dependent Clp protease adapter protein ClpS	107
2606885672	193	66.31	1	187	7	193	6.0e-77	280	COG0740	ATP-dependent protease ClpP, protease subunit	200
2606885673	642	52.22	50	633	19	596	0.0e+00	663	COG0465	ATP-dependent Zn proteases	596
