gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2837243552	390	99.73	1	388	1	364	1.0e-94	314.6	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2837243554	785	91.81	6	766	21	715	0.0e+00	812.9	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	743
2837243555	494	98.09	18	486	1	461	0.0e+00	599.4	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	470
2837243556	831	95.57	1	805	6	782	0.0e+00	799.1	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2837243557	297	62.5	13	289	134	363	6.1e-20	68	COG0457	Tetratricopeptide (TPR) repeat	291
2837243558	325	90.03	9	321	2	308	3.5e-86	286.5	COG1600	Epoxyqueuosine reductase  QueG (queuosine biosynthesis)	337
2837243560	248	91.44	14	242	3	205	2.8e-68	226.7	COG2928	Uncharacterized membrane protein	222
2837243561	214	90.85	1	212	11	149	2.7e-24	82.4	COG0781	Transcription termination factor NusB	151
2837243562	488	86.11	21	486	50	359	4.5e-110	364.8	COG0552	Signal recognition particle GTPase	340
2837243563	477	79.89	126	465	74	367	1.1e-74	248.6	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	367
2837243564	470	98.69	9	466	4	456	0.0e+00	627.4	COG0165	Argininosuccinate lyase	459
2837243565	187	26.14	2	166	116	201	3.1e-23	80.1	COG0724	 RNA recognition motif (RRM) domain	306
2837243566	334	91.38	8	332	11	307	7.9e-83	275.3	COG0042	tRNA-dihydrouridine synthase	323
2837243567	170	88.65	43	170	5	129	2.2e-48	160.7	COG0229	Peptide methionine sulfoxide reductase MsrB	140
2837243568	422	98.77	7	420	4	405	1.0e-96	321.2	COG2081	Predicted flavoprotein YhiN	408
2837243569	418	99.75	1	418	1	397	3.2e-116	385.4	COG1459	Type II secretory pathway, component PulF	397
2837243570	358	99.15	1	357	2	351	0.0e+00	497.3	COG2805	Tfp pilus assembly protein PilT, pilus retraction ATPase	353
2837243571	545	85.04	5	505	75	506	0.0e+00	550	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	500
2837243572	224	84.18	3	193	29	193	5.6e-50	166.9	COG0576	Molecular chaperone GrpE (heat shock protein)	193
2837243573	375	97.14	1	374	4	377	7.2e-129	427.5	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	371
