gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2508550389	478	41	8	467	1	407	4.0e-119	421	COG0593	Chromosomal replication initiation ATPase DnaA	408
2508550391	81	24.36	5	80	21	95	4.0e-05	39.9	COG2154	Pterin-4a-carbinolamine dehydratase	101
2508550393	510	43.35	1	495	5	484	2.0e-123	436	COG1008	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	497
2508550394	614	33.71	13	608	2	606	4.0e-93	336	COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	606
2508550395	155	28.03	5	136	4	135	3.0e-15	74.5	COG2193	Bacterioferritin (cytochrome b1)	157
2508550397	83	36.14	1	77	1	83	6.0e-13	65.7	COG4576	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM	89
2508550398	100	32.53	1	76	1	83	2.0e-10	57.6	COG4576	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM	89
2508550401	113	33.68	15	109	9	103	2.0e-19	87.7	COG4451	Ribulose bisphosphate carboxylase small subunit	127
2508550402	470	51.54	7	460	2	429	0.0e+00	560	COG1850	Ribulose 1,5-bisphosphate carboxylase, large subunit, or a RuBisCO-like protein	429
2508550405	338	42.34	9	334	14	369	1.0e-67	250	COG3329	Uncharacterized conserved protein	372
2508550406	194	38.66	1	191	3	194	7.0e-43	166	COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	194
2508550410	436	20.7	54	431	49	443	2.0e-17	84.3	COG2710	Nitrogenase molybdenum-iron protein, alpha and beta chains	456
2508550411	561	22.04	12	429	36	432	4.0e-21	96.6	COG2710	Nitrogenase molybdenum-iron protein, alpha and beta chains	456
2508550412	301	44.03	38	298	4	267	5.0e-74	271	COG1348	Nitrogenase subunit NifH, an ATPase	278
2508550415	341	25.26	27	307	7	243	5.0e-18	85.7	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2508550418	165	36.24	16	160	7	155	4.0e-28	117	COG5474	Uncharacterized protein	159
2508550420	437	28.28	6	240	4	229	4.0e-22	99.7	COG1994	Zn-dependent protease (includes SpoIVFB)	230
2508550421	227	40.09	7	223	2	207	2.0e-47	182	COG0135	Phosphoribosylanthranilate isomerase	208
2508550423	247	35.03	47	241	4	195	4.0e-37	148	COG0302	GTP cyclohydrolase I	195
2508550424	236	36.87	1	214	6	222	2.0e-42	166	COG0300	Short-chain dehydrogenase	265
2508550425	329	57.14	5	319	3	317	1.0e-122	432	COG0825	Acetyl-CoA carboxylase alpha subunit	317
