gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2623927853	503	44.44	54	493	1	407	1.0e-124	440	COG0593	Chromosomal replication initiation ATPase DnaA	408
2623927854	83	26.67	5	79	21	95	5.0e-08	49.5	COG2154	Pterin-4a-carbinolamine dehydratase	101
2623927856	500	42.42	1	494	5	484	2.0e-119	423	COG1008	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	497
2623927857	619	34.79	13	612	2	606	1.0e-92	334	COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	606
2623927858	163	28.89	9	143	7	141	5.0e-15	73.8	COG2193	Bacterioferritin (cytochrome b1)	157
2623927860	83	33.73	1	77	1	83	4.0e-11	59.9	COG4576	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM	89
2623927861	89	34.94	1	76	1	83	7.0e-11	58.8	COG4576	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM	89
2623927864	113	30.53	15	109	9	103	2.0e-18	84.3	COG4451	Ribulose bisphosphate carboxylase small subunit	127
2623927865	471	52.41	7	460	2	429	0.0e+00	564	COG1850	Ribulose 1,5-bisphosphate carboxylase, large subunit, or a RuBisCO-like protein	429
2623927868	331	41.74	9	323	14	367	8.0e-65	240	COG3329	Uncharacterized conserved protein	372
2623927869	204	35.6	17	201	4	193	8.0e-46	176	COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	194
2623927873	174	23.13	14	160	26	172	7.0e-08	50.5	COG3247	Uncharacterized membrane protein HdeD, DUF308 family	185
2623927880	583	23.57	74	560	9	442	7.0e-28	119	COG1538	Outer membrane protein TolC	457
2623927881	373	22.52	1	361	1	368	1.0e-12	67.6	COG0665	Glycine/D-amino acid oxidase (deaminating)	387
2623927883	215	53.57	18	212	1	196	1.0e-71	262	COG0353	Recombinational DNA repair protein RecR	198
2623927884	302	50.33	1	300	9	296	2.0e-108	385	COG0320	Lipoate synthase	306
2623927885	147	41.56	8	146	2	155	8.0e-38	149	COG1576	23S rRNA pseudoU1915 N3-methylase RlmH	155
2623927887	316	42	209	307	2	96	1.0e-16	80.7	COG3502	Uncharacterized conserved protein, DUF952 family	115
