gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2507313697	392	32.9	8	390	1	364	5.0e-72	265	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2507313699	768	47.16	17	749	23	735	0.0e+00	813	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	743
2507313700	516	48.78	32	516	4	470	0.0e+00	549	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	470
2507313701	822	41.32	3	814	5	797	0.0e+00	718	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2507313702	293	23.89	53	232	73	252	3.0e-10	59.2	COG5010	Flp pilus assembly protein TadD, contains TPR repeats	257
2507313703	321	40.71	11	313	1	306	2.0e-68	252	COG1600	Epoxyqueuosine reductase  QueG (queuosine biosynthesis)	337
2507313705	244	38.57	15	223	1	205	4.0e-52	198	COG2928	Uncharacterized membrane protein	222
2507313707	510	47.77	200	508	29	340	4.0e-98	352	COG0552	Signal recognition particle GTPase	340
2507313708	447	31.45	63	432	15	365	4.0e-56	212	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	367
2507313709	472	58.68	13	467	6	459	0.0e+00	599	COG0165	Argininosuccinate lyase	459
2507313711	331	40.53	11	305	12	301	7.0e-68	251	COG0042	tRNA-dihydrouridine synthase	323
2507313712	167	50.41	47	167	7	129	3.0e-48	184	COG0229	Peptide methionine sulfoxide reductase MsrB	140
2507313713	398	35.5	1	392	17	405	3.0e-87	315	COG2081	Predicted flavoprotein YhiN	408
2507313714	418	39.71	1	418	1	397	6.0e-90	324	COG1459	Type II secretory pathway, component PulF	397
2507313715	358	55.34	1	356	1	352	0.0e+00	490	COG2805	Tfp pilus assembly protein PilT, pilus retraction ATPase	353
2507313716	621	50.11	135	579	68	498	0.0e+00	485	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	500
2507313717	221	33.85	8	202	2	193	2.0e-33	135	COG0576	Molecular chaperone GrpE (heat shock protein)	193
2507313718	376	49.46	3	371	5	365	2.0e-118	419	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	371
2507313719	75	25.71	6	74	8	77	8.0e-06	42.2	COG0425	TusA-related sulfurtransferase	78
2507313720	293	37.33	1	282	8	291	8.0e-63	234	COG1162	Putative ribosome biogenesis GTPase RsgA	301
2507313721	113	31.07	10	111	5	104	2.0e-11	61	COG0718	Conserved DNA-binding protein YbaB (function unknown)	105
2507313722	300	43.25	8	296	2	288	3.0e-86	312	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase	291
2507313723	469	37.79	4	467	3	453	4.0e-126	445	COG0773	UDP-N-acetylmuramate-alanine ligase	459
2507313724	341	57.18	2	341	1	335	2.0e-123	435	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	335
2507313725	328	31.69	11	325	10	317	2.0e-50	193	COG0611	Thiamine monophosphate kinase	317
2507313726	369	25.7	184	362	1	145	7.0e-21	94.9	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	158
2507313727	187	52.71	1	129	3	131	3.0e-39	154	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	131
2507313728	159	35.57	10	158	1	140	3.0e-25	107	COG0511	Biotin carboxyl carrier protein	140
2507313729	314	42.37	5	313	20	325	7.0e-71	260	COG1995	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	332
2507313731	317	21.5	17	284	2	292	2.0e-14	73.5	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2507313741	382	47.14	1	381	2	381	2.0e-115	409	COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	383
2507313742	368	30.31	11	354	13	359	2.0e-54	206	COG1903	Cobalamin biosynthesis protein CbiD	367
2507313743	528	66.15	204	528	1	315	0.0e+00	534	COG0519	GMP synthase, PP-ATPase domain/subunit	315
2507313747	595	33.94	17	591	18	590	3.0e-106	379	COG0768	Cell division protein FtsI/penicillin-binding protein 2	599
2507313748	381	30.26	2	374	2	379	7.0e-40	158	COG0438	Glycosyltransferase involved in cell wall bisynthesis	381
2507313749	398	24.59	2	366	2	306	3.0e-29	123	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2507313751	272	58.11	4	268	1	259	9.0e-101	359	COG2022	Thiamin biosynthesis thiazole synthase ThiGH, ThiG subunit	262
2507313754	115	65.22	1	115	1	115	2.0e-33	134	COG0292	Ribosomal protein L20	118
2507313755	65	53.85	1	65	1	65	2.0e-10	57.5	COG0291	Ribosomal protein L35	65
2507313756	525	29.37	109	513	26	388	3.0e-46	179	COG2385	Peptidoglycan hydrolase (amidase) enhancer domain	397
2507313757	439	26.33	37	431	13	424	3.0e-40	160	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	439
2507313758	641	42.89	4	458	2	449	2.0e-114	407	COG2812	DNA polymerase III, gamma/tau subunits	515
2507313760	449	61.05	11	431	1	389	0.0e+00	621	COG1219	ATP-dependent protease Clp, ATPase subunit	408
2507313761	224	69.15	27	214	5	192	2.0e-78	285	COG0740	ATP-dependent protease ClpP, protease subunit	200
2507313762	469	35.7	6	448	1	440	7.0e-75	274	COG0544	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	441
2507313763	340	51.93	9	338	1	334	7.0e-103	367	COG0136	Aspartate-semialdehyde dehydrogenase	334
2507313764	302	48.31	8	301	1	295	1.0e-77	283	COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	299
