gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2910013374	385	99.73	1	383	1	364	7.9e-97	318.3	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2910013375	266	55.68	84	145	10	58	9.3e-04	12.3	COG1873	Sporulation protein YlmC, PRC-barrel domain family	87
2910013376	777	97.09	5	768	21	755	0.0e+00	816.4	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	743
2910013377	501	97.45	25	493	1	458	0.0e+00	597.5	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	470
2910013378	820	96.06	1	818	6	786	0.0e+00	800.4	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2910013379	279	59.24	10	231	148	365	3.1e-18	60	COG0457	Tetratricopeptide (TPR) repeat	291
2910013380	325	90.32	9	320	2	309	1.5e-85	280.8	COG1600	Epoxyqueuosine reductase  QueG (queuosine biosynthesis)	337
2910013382	248	91.44	14	235	3	205	1.0e-69	227.8	COG2928	Uncharacterized membrane protein	222
2910013383	210	60.78	1	206	55	147	8.7e-25	80.8	COG0781	Transcription termination factor NusB	151
2910013384	557	86.11	127	555	50	359	3.0e-112	368.6	COG0552	Signal recognition particle GTPase	340
2910013385	469	89.67	90	457	38	367	1.4e-76	251.3	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	367
2910013386	472	98.91	9	467	4	457	0.0e+00	633	COG0165	Argininosuccinate lyase	459
2910013388	334	95.38	6	333	10	319	2.2e-82	270.3	COG0042	tRNA-dihydrouridine synthase	323
2910013389	170	88.65	43	170	5	129	7.6e-51	165.1	COG0229	Peptide methionine sulfoxide reductase MsrB	140
2910013390	438	98.77	21	430	3	404	1.2e-105	347.2	COG2081	Predicted flavoprotein YhiN	408
2910013391	424	99.75	1	424	1	397	3.4e-118	388.3	COG1459	Type II secretory pathway, component PulF	397
2910013392	371	99.43	15	371	2	352	0.0e+00	502.8	COG2805	Tfp pilus assembly protein PilT, pilus retraction ATPase	353
2910013393	590	96.06	20	550	19	506	0.0e+00	549.7	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	500
2910013394	268	90.82	34	235	16	193	5.1e-51	166.8	COG0576	Molecular chaperone GrpE (heat shock protein)	193
2910013395	376	97.14	1	375	4	377	5.2e-129	424.4	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	371
2910013396	80	86.25	1	76	2	70	2.2e-12	40.4	COG0425	TusA-related sulfurtransferase	78
2910013397	303	92.38	4	297	4	282	3.1e-80	263	COG1162	Putative ribosome biogenesis GTPase RsgA	301
2910013398	113	95.24	7	112	5	104	4.1e-23	75.1	COG0718	Conserved DNA-binding protein YbaB (function unknown)	105
2910013399	312	98.3	15	311	3	291	1.8e-96	316.1	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase	291
2910013400	483	98.05	2	470	5	456	0.0e+00	432	COG0773	UDP-N-acetylmuramate-alanine ligase	459
2910013401	341	98.81	2	341	2	332	0.0e+00	443.8	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	335
2910013402	326	98.75	6	325	4	319	1.8e-66	217.7	COG0611	Thiamine monophosphate kinase	317
2910013403	357	82.17	172	351	1	129	6.7e-25	81.2	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	158
2910013404	193	98.47	5	135	3	131	6.9e-50	161.5	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	131
2910013405	159	97.28	8	158	4	146	1.3e-35	117	COG0511	Biotin carboxyl carrier protein	140
2910013406	342	97.58	9	342	4	326	1.5e-94	310.7	COG1995	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	332
2910013408	309	95.64	18	301	8	314	9.8e-26	81.1	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2910013412	516	8.11	40	158	362	434	6.9e-42	31.8	COG0553	Superfamily II DNA or RNA helicase, SNF2 family	866
2910013412	516	38	177	461	501	842	6.9e-42	103.5	COG0553	Superfamily II DNA or RNA helicase, SNF2 family	866
2910013415	171	45.45	1	169	9	168	8.7e-27	87.4	COG3180	Uncharacterized membrane protein AbrB, regulator of aidB expression	352
2910013420	440	98.43	56	439	6	382	0.0e+00	441.7	COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	383
2910013421	322	83.38	1	317	54	359	3.2e-60	197.5	COG1903	Cobalamin biosynthesis protein CbiD	367
2910013422	528	98.48	11	203	3	197	1.2e-65	214.3	COG0518	GMP synthase - Glutamine amidotransferase domain	198
2910013422	528	100	204	528	1	316	0.0e+00	496.9	COG0519	GMP synthase, PP-ATPase domain/subunit	315
2910013425	601	97.31	6	601	9	623	1.4e-129	426.9	COG0768	Cell division protein FtsI/penicillin-binding protein 2	599
2910013426	381	99.27	1	376	3	408	3.0e-46	152.4	COG0438	Glycosyltransferase involved in cell wall bisynthesis	381
2910013427	398	96.88	2	374	3	313	3.1e-64	211	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2910013429	286	98.47	20	286	3	260	1.0e-117	385.6	COG2022	Thiamin biosynthesis thiazole synthase ThiGH, ThiG subunit	262
2910013431	191	53.08	22	182	80	217	3.1e-10	32	COG5010	Flp pilus assembly protein TadD, contains TPR repeats	257
2910013432	115	95.76	1	115	1	113	2.9e-50	163.1	COG0292	Ribosomal protein L20	118
2910013433	91	100	27	91	1	65	6.1e-28	90.7	COG0291	Ribosomal protein L35	65
