gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2909990253	375	99.73	1	373	1	364	4.7e-96	315.7	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2909990255	800	93.92	8	785	20	730	0.0e+00	808.3	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	743
2909990256	499	98.3	22	491	2	463	0.0e+00	594.6	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	470
2909990257	835	93.36	3	808	8	766	0.0e+00	816.6	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2909990258	297	58.15	5	288	133	346	8.0e-18	58.5	COG0457	Tetratricopeptide (TPR) repeat	291
2909990259	344	91.79	24	342	2	314	1.3e-86	284.2	COG1600	Epoxyqueuosine reductase  QueG (queuosine biosynthesis)	337
2909990261	241	91.44	15	240	3	205	6.6e-67	218.6	COG2928	Uncharacterized membrane protein	222
2909990262	219	90.85	1	219	12	150	1.4e-24	79.1	COG0781	Transcription termination factor NusB	151
2909990263	480	86.11	80	479	50	359	2.6e-112	369	COG0552	Signal recognition particle GTPase	340
2909990264	470	79.89	130	458	74	367	1.9e-75	247	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	367
2909990265	475	98.91	17	475	5	458	0.0e+00	621.6	COG0165	Argininosuccinate lyase	459
2909990266	151	24.62	1	144	122	202	2.7e-23	76.7	COG0724	 RNA recognition motif (RRM) domain	306
2909990267	341	96	2	336	7	318	7.8e-80	261.8	COG0042	tRNA-dihydrouridine synthase	323
2909990268	444	98.77	23	435	4	405	4.1e-103	338.6	COG2081	Predicted flavoprotein YhiN	408
2909990269	418	99.5	1	418	2	397	5.5e-123	403.9	COG1459	Type II secretory pathway, component PulF	397
2909990270	359	99.15	1	357	3	352	0.0e+00	490.7	COG2805	Tfp pilus assembly protein PilT, pilus retraction ATPase	353
2909990271	616	87.01	43	577	65	506	0.0e+00	563.7	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	500
2909990272	256	81.12	39	229	35	193	5.0e-49	160.2	COG0576	Molecular chaperone GrpE (heat shock protein)	193
2909990273	374	95.32	1	371	4	370	2.8e-125	411.9	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	371
2909990274	84	75	2	81	6	65	2.0e-12	40.5	COG0425	TusA-related sulfurtransferase	78
2909990275	353	96.03	10	307	6	295	4.7e-78	255.7	COG1162	Putative ribosome biogenesis GTPase RsgA	301
2909990276	113	95.24	7	112	5	104	2.5e-21	69.2	COG0718	Conserved DNA-binding protein YbaB (function unknown)	105
2909990277	301	97.62	10	301	5	291	2.1e-95	312.4	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase	291
2909990278	478	97.18	3	471	8	455	0.0e+00	441.9	COG0773	UDP-N-acetylmuramate-alanine ligase	459
2909990279	340	98.81	2	340	2	332	0.0e+00	443.6	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	335
2909990280	342	95.62	10	342	3	308	9.0e-59	192.3	COG0611	Thiamine monophosphate kinase	317
2909990281	363	86.62	178	361	1	136	2.4e-24	79.3	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	158
2909990282	186	98.47	1	129	3	131	2.1e-49	159.8	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	131
